window_start,window_end,shot_number,window_accuracy,top_feature,top_feature_importance,feature_importance_std,n_features
0,5,2,0.4,shot_duration,0.12222222222222222,0.0271986538204564,13
1,6,3,0.4,avg_elbow_angle,0.18876941457586624,0.048133318947958914,13
2,7,4,0.4,avg_elbow_angle,0.16790123456790124,0.04978690266348984,13
3,8,5,0.6,avg_elbow_angle,0.1728395061728395,0.04747519986307023,13
4,9,6,0.6,std_elbow_angle,0.14691358024691356,0.03791544582294401,13
5,10,7,0.4,avg_elbow_angle,0.13724611708482679,0.03784319895753304,13
6,11,8,0.6,release_height,0.1182098765432099,0.027944502465642194,13
7,12,9,0.6,avg_elbow_angle,0.1257467144563919,0.02230135463112852,13
8,13,10,0.4,movement_coordination,0.17407407407407408,0.03699090573703222,13
9,14,11,0.4,avg_elbow_angle,0.18876941457586616,0.04917345589445421,13
10,15,12,0.4,release_height,0.11691086691086691,0.025939541609714116,13
11,16,13,0.2,prep_duration,0.15492957746478875,0.054735236025780315,13
12,17,14,0.0,prep_duration,0.0,0.0,13
13,18,15,0.0,prep_duration,0.0,0.0,13
14,19,16,0.2,max_hand_speed,0.16666666666666666,0.05099498263024444,13
15,20,17,0.4,movement_coordination,0.13333333333333333,0.03438511570921613,13
16,21,18,0.6,release_height,0.16483516483516483,0.04136113476423522,13
17,22,19,0.8,prep_duration,0.15492957746478872,0.049334453174550257,13
18,23,20,1.0,prep_duration,0.0,0.0,13
19,24,21,1.0,prep_duration,0.0,0.0,13
20,25,22,0.8,release_height,0.24621212121212122,0.06361368833054075,13
21,26,23,0.8,release_height,0.212890625,0.07380873959050446,13
22,27,24,0.8,std_elbow_angle,0.184640522875817,0.05998342158440522,13
23,28,25,0.6,motion_smoothness_seq,0.1464506172839506,0.04233515415397012,13
24,29,26,0.6,avg_elbow_angle,0.19354838709677422,0.051602830151572424,13
25,30,27,0.8,prep_duration,0.17647058823529413,0.05671350679277035,13
26,31,28,0.8,motion_smoothness,0.1884328358208955,0.05155127557965635,13
27,32,29,0.8,release_height,0.20070422535211263,0.05731089742060289,13
28,33,30,1.0,prep_duration,0.0,0.0,13
29,34,31,1.0,prep_duration,0.0,0.0,13
30,35,32,1.0,prep_duration,0.0,0.0,13
31,36,33,1.0,prep_duration,0.0,0.0,13
32,37,34,1.0,prep_duration,0.0,0.0,13
33,38,35,1.0,prep_duration,0.0,0.0,13
34,39,36,1.0,prep_duration,0.0,0.0,13
35,40,37,0.8,prep_duration,0.1515151515151515,0.03982934328327026,13
36,41,38,0.8,prep_duration,0.171875,0.05642873125088103,13
37,42,39,0.8,movement_coordination,0.1911764705882353,0.054681407392835925,13
38,43,40,0.6,release_angle,0.16790123456790124,0.04909011078237317,13
39,44,41,0.6,movement_coordination,0.15845280764635603,0.041862096513783933,13
40,45,42,0.8,avg_elbow_angle,0.14705882352941177,0.05997478539349837,13
41,46,43,0.8,release_height,0.16417910447761197,0.04512556586204448,13
42,47,44,0.8,prep_duration,0.1830985915492958,0.04309879424088745,13
43,48,45,1.0,prep_duration,0.0,0.0,13
44,49,46,1.0,prep_duration,0.0,0.0,13
45,50,47,1.0,prep_duration,0.0,0.0,13
46,51,48,1.0,prep_duration,0.0,0.0,13
47,52,49,0.8,release_height,0.24242424242424243,0.07180144832907291,13
48,53,50,0.8,release_height,0.1875,0.05294135366819549,13
49,54,51,0.8,release_height,0.2058823529411765,0.05731957493284269,13
50,55,52,0.8,release_height,0.1492537313432836,0.038942619072667356,13
51,56,53,0.6,prep_duration,0.14893617021276595,0.030332424848319352,13
52,57,54,0.8,peak_velocity,0.140625,0.043436276802667664,13
53,58,55,0.8,movement_coordination,0.17647058823529413,0.04293926523154291,13
54,59,56,0.8,movement_coordination,0.13432835820895522,0.03955437740577586,13
55,60,57,0.6,movement_coordination,0.15721040189125296,0.03286096180723393,13
56,61,58,0.6,movement_coordination,0.17592592592592596,0.04368817872627322,13
57,62,59,0.6,movement_coordination,0.16450617283950617,0.039900139027866516,13
58,63,60,0.6,movement_coordination,0.17921146953405018,0.0485498580515291,13
59,64,61,0.6,motion_smoothness_seq,0.18315018315018314,0.04267076464273711,13
